City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,uzgen,40.7699,73.3007,58.82,32,0,0.78,KG,1697339036
83,hamilton,39.1834,-84.5333,52.88,88,100,12.66,US,1697338774
84,ushuaia,-54.8,-68.3,44.26,70,40,24.16,AR,1697339036
85,kiunga,-6.1219,141.2906,77.22,96,100,1.1,PG,1697339036
86,vorgashor,67.5833,63.95,29.64,93,100,6.44,RU,1697339036
87,lihue,21.9789,-159.3672,87.04,67,20,17.27,US,1697339036
88,yellowknife,62.456,-114.3525,51.42,87,0,12.66,CA,1697338886
89,saint-marcellin,45.15,5.3167,52.52,97,22,4.92,FR,1697339036
90,urangan,-25.3,152.9,73.35,72,0,14.16,AU,1697339036
91,cannonvale,-20.2833,148.7,78.19,61,81,9.98,AU,1697339036
92,mejit,10.2753,170.8646,82.65,75,20,8.1,MH,1697339037
93,motueka,-41.1333,173.0167,63.1,54,48,13.04,NZ,1697339037
94,jinxiang,27.4327,120.6062,74.03,63,0,4.23,CN,1697339037
95,taltal,-25.4,-70.4833,60.31,82,17,1.72,CL,1697339037
96,new norfolk,-42.7826,147.0587,56.7,94,98,4.74,AU,1697339037
97,vorkuta,67.5,64.0,29.95,92,100,6.76,RU,1697339037
98,petropavlovsk-kamchatsky,53.0452,158.6483,48.79,88,75,6.71,RU,1697339037
99,west island,-12.1568,96.8225,80.58,74,100,12.66,CC,1697339037
100,lorengau,-2.0226,147.2712,84.0,74,87,2.77,PG,1697338886
101,invercargill,-46.4,168.35,46.02,83,97,14.0,NZ,1697338960
102,praia,14.9215,-23.5087,82.94,83,75,10.36,CV,1697339037
103,gagra,43.3283,40.2239,50.92,33,0,7.27,GE,1697339038
104,atafu village,-8.5421,-172.5159,83.84,76,56,20.47,TK,1697339038
105,robore,-18.3333,-59.75,78.91,50,17,3.13,BO,1697339038
106,port augusta,-32.5,137.7667,71.96,36,55,11.48,AU,1697339038
107,rio grande,-32.035,-52.0986,60.94,72,92,18.52,BR,1697339038
108,merowe,18.4833,31.8167,83.08,24,0,20.74,SD,1697339038
109,egilsstadir,65.2653,-14.3948,26.51,80,75,0.0,IS,1697339038
110,ancud,-41.8697,-73.8203,45.82,81,100,3.67,CL,1697338952
111,katabu,-4.9333,122.5167,94.35,35,7,8.32,ID,1697339038
